canonical_id,english_name,german_name,domain,cluster,definition_en,phonosemantik,beauty,tonality,virality,safety_level,positioning,overall_score,verdict
AUG-0001,Augmanitai,Augmanitai,AUGMANITAI_CORE,,"A framework concept describing the conscious, productive collaboration between humans and AI in everyday contexts. The term combines ""augmentation"" (enhancement) with ""humanitai"" (a neologism for human-centered AI use). Unlike the term ""artificial intelligence,"" which centers the machine, Augmanitai describes exclusively the human perspective during collaboration. Foundational term for the entire framework; referenced across all 21 Axioms, 9 Dimensions, and 7 Phases.",76.364,79.2,50,63.333,GREEN,100,10.084,DEPLOY
AUG-0002,Mentale Externalisierungsstrategie,Mentale Externalisierungsstrategie,AUGMANITAI_CORE,,"The deliberate outsourcing of thinking processes to an AI system in order to free up internal capacity. The user consciously shifts subtasks such as research, structuring, or drafting to the external system — not only for efficiency but also to create space for genuinely human thinking: creativity, intuition, moral reasoning, or personal reflection. Distinguished from passive reliance by the fact that the outsourcing is actively controlled and reversible at any time. Related to AUG-0014 (The Extended Mind Map) and Axiom 16 (Non-Substitution).",76.471,84.8,55,36.667,GREEN,100,9.421,DEPLOY
AUG-0003,Fluide Identitätsmorphologie,Fluide Identitätsmorphologie,AUGMANITAI_CORE,,"The observation that a user's working style, language, and partly their way of thinking may gradually shift through intensive AI collaboration. This change is not inherently negative — it can unlock new forms of expression but may also dilute one's personal voice. Captured in the Taxonomy through Dimension 7 (Adaptability) and occurs more frequently during Phase 2 (The Effortless Loop). Not to be confused with AUG-0007 (The Blending Effect), which specifically refers to the merging of human and AI output.",75.333,83.4,50,36.667,GREEN,100,9.274,DEPLOY
AUG-0004,Zero-Point Self,Zero-Point Self,AUGMANITAI_CORE,,"The baseline state of one's knowledge, skills, and thinking style before any AI use. Serves as a personal reference point to measure changes caused by AI collaboration. The central question of this concept is: ""What could I do before I started using AI?"" Related to AUG-0056 (The Skill Fade) and Phase 3 (The Skill Question). Not to be confused with an ideal state — the Zero-Point Self is a neutral measurement point, not a goal.",75.625,78.5,50,55.0,GREEN,100,10.02,DEPLOY
AUG-0005,The Integrated Operator,The Integrated Operator,AUGMANITAI_CORE,,"A user type who does not treat AI as a separate tool but has seamlessly integrated it into their entire working and thinking process. The Integrated Operator moves fluidly between their own thinking and AI assistance without a conscious ""switching moment."" Describes an advanced state typically reached in Phase 6 (Symbiotic Work State). Differs from the Conductor Profile (Profile 12) in that the Integrated Operator merges rather than delegates.",73.636,75.3,45,41.667,GREEN,100,8.612,DEPLOY
AUG-0006,Platform Ontology,Platform Ontology,AUGMANITAI_CORE,,"The observation that every AI platform carries its own implicit ""worldview"" — favoring certain patterns of thought, omitting others, and thereby influencing the direction of collaboration. Users who rely on only one system unconsciously adopt its perspective. This concept underpins Axiom 4 (Multiplicity): using multiple AI systems compensates for their respective distortions. Not to be confused with technical bias — Platform Ontology describes the effect on the user, not on the model itself.",72.917,72.5,40,51.667,GREEN,100,9.524,DEPLOY
AUG-0007,The Blending Effect,The Blending Effect,AUGMANITAI_CORE,,"The process by which the boundary between one's own thoughts and AI-generated content increasingly blurs for the user. After intensive collaboration, it can become difficult to distinguish which part of an idea originated from the human and which from the AI. Directly connected to Axiom 12 (Version Truth: ""Your idea + AI ≠ your idea"") and AUG-0179 (The Ownership Check). Differs from AUG-0003 (Fluide Identitätsmorphologie) in that the Blending Effect refers to individual outputs, not long-term change.",73.929,72.5,50,48.333,GREEN,100,9.105,DEPLOY
AUG-0008,The Polyphonic Sovereign,The Polyphonic Sovereign,AUGMANITAI_CORE,,"A user who deliberately employs multiple AI systems simultaneously, orchestrating their different ""voices"" without surrendering their own decision-making authority. The name combines ""polyphonic"" (many-voiced) with ""sovereign"" (self-determined). Practical implementation of Axiom 4 (Multiplicity). Differs from the Generalist Profile (Profile 8) in that the Polyphonic Sovereign deliberately cross-checks systems rather than simply researching broadly.",76.111,80.6,50,40.0,GREEN,100,8.834,DEPLOY
AUG-0009,The Speed Limit,The Speed Limit,AUGMANITAI_CORE,,"The upper limit of productive working speed in AI-assisted work. Although AI can massively increase production speed, a point exists beyond which human processing capacity cannot keep up and decision quality declines. Related to Axiom 6 (The 3-Second Delay) and Axiom 7 (The Return Principle). Not to be confused with technical speed limitations of the AI systems themselves.",76.765,78.5,55,55.0,GREEN,100,9.632,DEPLOY
AUG-0010,Bridge Species,Bridge Species,AUGMANITAI_CORE,,"A metaphor for people who work in both the pre-AI and the AI era, functioning as a living bridge between two working worlds. Bridge Species possess the unique ability to consciously perceive AI-driven changes because they know the before-and-after comparison from personal experience. Comparable to the generation that witnessed the transition from analog to digital or the introduction of the internet in the 1990s — but not necessarily identical, as the speed of AI transformation represents a new quality. Related to AUG-0004 (Zero-Point Self) and AUG-0162 (The Generational Bridge).",75.0,78.5,50,56.667,GREEN,100,10.435,DEPLOY
AUG-0011,The Reflective Operator,The Reflective Operator,AUGMANITAI_CORE,,"A user type who regularly questions and observes their own AI usage. The Reflective Operator asks not only ""What does the AI deliver?"" but also ""What does the AI do to me?"" Practical implementation of Axiom 8 (The Meta Level) and Axiom 9 (Productive Skepticism). Differs from the Objective Auditor (Profile 2) in that the reflection is directed inward — the Auditor checks the output, the Reflective Operator checks themselves.",72.917,75.3,45,41.667,GREEN,100,8.594,DEPLOY
AUG-0012,Synthetischer Polymath,Synthetischer Polymath,AUGMANITAI_CORE,,"A user who, through AI assistance, is able to work at a high level across multiple disciplines simultaneously, despite not having formally studied all of them. The AI serves as a ""just-in-time knowledge base."" The term is deliberately descriptive — it describes an observable phenomenon, not an ideal goal. Related to the Generalist Profile (Profile 8) and AUG-0043 (Just-in-Time Competence).",74.688,72.5,45,43.333,GREEN,100,9.374,DEPLOY
AUG-0013,Augmented Diplomat,Augmented Diplomat,AUGMANITAI_CORE,,"A user who deliberately employs AI to improve interpersonal communication — such as drafting difficult messages, bridging language barriers, or preparing negotiations. The AI functions as an ""invisible advisor"" in social contexts. Related to AUG-0115 (Social Aerodynamics) and the Translator Profile (Profile 6).",76.154,79.9,50,50.0,GREEN,100,9.651,DEPLOY
AUG-0014,The Extended Mind Map,The Extended Mind Map,AUGMANITAI_CORE,,"The deliberately constructed external knowledge and thinking architecture of a user, encompassing AI systems, saved prompts, knowledge bases, and personal workflows. The term draws on the ""Extended Mind"" hypothesis (Clark & Chalmers, 1998) but applies it to everyday life broadly — not just work but also learning, personal development, and decision-making. Describes the central outcome of Phase 5 (Architecture Design). Differs from simple file management in that the Extended Mind Map is actively integrated into the thinking process, not merely stored passively.",72.222,73.2,45,45.0,GREEN,100,8.636,DEPLOY
AUG-0015,The Outer Mind,The Outer Mind,AUGMANITAI_CORE,,"The portion of one's thinking and working process that is permanently outsourced to external AI systems. While AUG-0002 (Mentale Externalisierungsstrategie) describes the conscious act of outsourcing, The Outer Mind denotes the resulting state — the already established external thinking layer. Related to Taxonomy Dimension 2 (Processing Locus: Internal vs. External).",75.385,78.5,50,56.667,GREEN,100,9.569,DEPLOY
AUG-0016,Poly-Categorical Mesh,Poly-Categorical Mesh,AUGMANITAI_CORE,,"The ability of an AI-assisted user to simultaneously connect knowledge from different disciplines into a new, interdisciplinary result. This phenomenon becomes possible at this speed and breadth only through AI and instant access to domain knowledge (just-in-time) — a single human without AI would need years of training across multiple disciplines to produce comparable connections. Related to Taxonomy Dimension 9 (Output Depth: Collage vs. Novelty), AUG-0012 (Synthetischer Polymath), and AUG-0043 (Just-in-Time Competence).",74.667,73.9,45,45.0,GREEN,100,9.214,DEPLOY
AUG-0017,The Concept Cloud,The Concept Cloud,AUGMANITAI_CORE,,"The state in which a user, through AI interaction, has a large quantity of ideas, perspectives, and information fragments simultaneously present but not yet structured. The Concept Cloud is the raw state before ordering — productive but potentially overwhelming. Related to AUG-0033 (Ebulliometric Sorting) as a method for organizing this cloud.",75.357,78.5,50,51.667,GREEN,100,9.402,DEPLOY
AUG-0018,Trinaug Protocol,Trinaug Protocol,AUGMANITAI_CORE,,"A working protocol in which the user systematically assigns the same task to three different AI systems and compares the results. ""Tri"" (three) + ""Aug"" (Augmanitai). Practical implementation of Axiom 4 (Multiplicity: ""One AI is an opinion. Three AIs are a pattern."") and Axiom 9 (Productive Skepticism). Related to AUG-0008 (The Polyphonic Sovereign) and AUG-0049 (Cross-Referential Validation).",76.0,79.2,50,53.333,GREEN,100,9.991,DEPLOY
AUG-0019,Semantic Ejection,Semantic Ejection,AUGMANITAI_CORE,,"The moment a user consciously rejects an AI-generated suggestion because it does not semantically fit their own thinking style, value system, or project context — even though the suggestion may be technically correct. Describes an active quality decision that goes beyond mere fact-checking. Related to Axiom 11 (The Reverse Test) and Taxonomy Dimension 3 (Output Fit: Mismatch vs. Alignment).",75.882,79.9,55,51.667,GREEN,100,9.783,DEPLOY
AUG-0020,Recursive Feedback Loop,Recursive Feedback Loop,AUGMANITAI_CORE,,"A self-reinforcing cycle in which the user takes an AI output as new input, develops it further, feeds it back to the AI, and thereby creates iterative deepening. In its productive form, this leads to progressive refinement of an idea; in its unproductive form, it may lead to circular movement without real progress. Related to Taxonomy Dimension 9 (Output Depth) and the Experimenter Profile (Profile 4).",77.188,81.3,60,41.667,GREEN,100,9.101,DEPLOY
AUG-0021,Initialization Cascade,Initialization Cascade,AUGMANITAI_CORE,,"The specific sequence of initial inputs and contextual information with which a user opens a new AI session. Experienced users develop personal initialization patterns — particular instructions, role assignments, or context documents they load at the beginning of every session. The quality of the Initialization Cascade substantially determines the quality of all subsequent outputs. Related to AUG-0133 (Prompt Craftsmanship) and AUG-0134 (Context Window Awareness).",76.667,82.7,55,43.333,GREEN,100,9.595,DEPLOY
AUG-0022,Vigilant Continuity,Vigilant Continuity,AUGMANITAI_CORE,,"A user's ability to remain consistently attentive and critical throughout an entire AI session — even as the collaboration becomes increasingly fluid and comfortable. Describes the challenge that vigilance naturally decreases with session duration. Related to AUG-0023 (Vigilance Imperative), Axiom 6 (3-Second Delay), and Phase 4 (The Verification Turn).",75.313,79.9,45,48.333,GREEN,100,9.491,DEPLOY
